#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_Plik_lite   ,          ,      97.0 ,           ,    2488.0000 ,     157.3000 ,     157.3000 ,             
Planck_Plik_lite   ,          ,     104.0 ,           ,    2962.3999 ,     119.7000 ,     119.7000 ,             
Planck_Plik_lite   ,          ,     113.0 ,           ,    3227.5000 ,     126.5000 ,     126.5000 ,             
Planck_Plik_lite   ,          ,     122.0 ,           ,    3388.5000 ,     133.7000 ,     133.7000 ,             
Planck_Plik_lite   ,          ,     131.0 ,           ,    3594.2000 ,     140.7000 ,     140.7000 ,             
Planck_Plik_lite   ,          ,     140.0 ,           ,    4233.3999 ,     147.5000 ,     147.5000 ,             
Planck_Plik_lite   ,          ,     149.0 ,           ,    4256.0000 ,     153.3000 ,     153.3000 ,             
Planck_Plik_lite   ,          ,     158.0 ,           ,    4782.1001 ,     158.8000 ,     158.8000 ,             
Planck_Plik_lite   ,          ,     167.0 ,           ,    4846.0000 ,     163.6000 ,     163.6000 ,             
Planck_Plik_lite   ,          ,     176.0 ,           ,    5127.3999 ,     167.0000 ,     167.0000 ,             
Planck_Plik_lite   ,          ,     185.0 ,           ,    5379.6001 ,     169.2000 ,     169.2000 ,             
Planck_Plik_lite   ,          ,     194.0 ,           ,    5550.7998 ,     170.3000 ,     170.3000 ,             
Planck_Plik_lite   ,          ,     203.0 ,           ,    5449.2998 ,     170.2000 ,     170.2000 ,             
Planck_Plik_lite   ,          ,     212.0 ,           ,    5636.2998 ,     168.5000 ,     168.5000 ,             
Planck_Plik_lite   ,          ,     221.0 ,           ,    5815.2002 ,     165.5000 ,     165.5000 ,             
Planck_Plik_lite   ,          ,     230.0 ,           ,    5689.5000 ,     161.3000 ,     161.3000 ,             
Planck_Plik_lite   ,          ,     239.0 ,           ,    5779.7002 ,     156.2000 ,     156.2000 ,             
Planck_Plik_lite   ,          ,     248.0 ,           ,    5433.7998 ,     150.0000 ,     150.0000 ,             
Planck_Plik_lite   ,          ,     257.0 ,           ,    5230.7998 ,     142.6000 ,     142.6000 ,             
Planck_Plik_lite   ,          ,     266.0 ,           ,    5091.7002 ,     135.0000 ,     135.0000 ,             
Planck_Plik_lite   ,          ,     275.0 ,           ,    5103.3999 ,     126.5000 ,     126.5000 ,             
Planck_Plik_lite   ,          ,     284.0 ,           ,    4548.6001 ,     118.0000 ,     118.0000 ,             
Planck_Plik_lite   ,          ,     293.0 ,           ,    4377.2998 ,     109.1000 ,     109.1000 ,             
Planck_Plik_lite   ,          ,     302.0 ,           ,    3933.8000 ,     100.3000 ,     100.3000 ,             
Planck_Plik_lite   ,          ,     311.0 ,           ,    3650.8999 ,      91.6000 ,      91.6000 ,             
Planck_Plik_lite   ,          ,     320.0 ,           ,    3411.0000 ,      83.2000 ,      83.2000 ,             
Planck_Plik_lite   ,          ,     329.0 ,           ,    3176.7000 ,      75.4000 ,      75.4000 ,             
Planck_Plik_lite   ,          ,     338.0 ,           ,    2844.6001 ,      68.1000 ,      68.1000 ,             
Planck_Plik_lite   ,          ,     347.0 ,           ,    2499.1001 ,      61.5000 ,      61.5000 ,             
Planck_Plik_lite   ,          ,     356.0 ,           ,    2359.3000 ,      55.6000 ,      55.6000 ,             
Planck_Plik_lite   ,          ,     365.0 ,           ,    2184.5000 ,      50.6000 ,      50.6000 ,             
Planck_Plik_lite   ,          ,     374.0 ,           ,    2039.5000 ,      46.5000 ,      46.5000 ,             
Planck_Plik_lite   ,          ,     383.0 ,           ,    1893.0000 ,      43.1000 ,      43.1000 ,             
Planck_Plik_lite   ,          ,     392.0 ,           ,    1787.9000 ,      40.8000 ,      40.8000 ,             
Planck_Plik_lite   ,          ,     401.0 ,           ,    1733.1000 ,      39.1000 ,      39.1000 ,             
Planck_Plik_lite   ,          ,     410.0 ,           ,    1739.6000 ,      38.2000 ,      38.2000 ,             
Planck_Plik_lite   ,          ,     419.0 ,           ,    1729.8000 ,      38.0000 ,      38.0000 ,             
Planck_Plik_lite   ,          ,     428.0 ,           ,    1769.2000 ,      38.3000 ,      38.3000 ,             
Planck_Plik_lite   ,          ,     437.0 ,           ,    1770.1000 ,      39.0000 ,      39.0000 ,             
Planck_Plik_lite   ,          ,     446.0 ,           ,    1856.9000 ,      40.1000 ,      40.1000 ,             
Planck_Plik_lite   ,          ,     455.0 ,           ,    2046.1000 ,      41.4000 ,      41.4000 ,             
Planck_Plik_lite   ,          ,     464.0 ,           ,    2224.6001 ,      42.8000 ,      42.8000 ,             
Planck_Plik_lite   ,          ,     473.0 ,           ,    2178.8999 ,      44.2000 ,      44.2000 ,             
Planck_Plik_lite   ,          ,     482.0 ,           ,    2324.8999 ,      45.5000 ,      45.5000 ,             
Planck_Plik_lite   ,          ,     491.0 ,           ,    2419.8000 ,      46.7000 ,      46.7000 ,             
Planck_Plik_lite   ,          ,     500.0 ,           ,    2447.7000 ,      47.8000 ,      47.8000 ,             
Planck_Plik_lite   ,          ,     509.0 ,           ,    2580.0000 ,      48.4000 ,      48.4000 ,             
Planck_Plik_lite   ,          ,     518.0 ,           ,    2557.3000 ,      48.8000 ,      48.8000 ,             
Planck_Plik_lite   ,          ,     527.0 ,           ,    2581.8000 ,      49.0000 ,      49.0000 ,             
Planck_Plik_lite   ,          ,     536.0 ,           ,    2523.7000 ,      48.8000 ,      48.8000 ,             
Planck_Plik_lite   ,          ,     545.0 ,           ,    2519.6001 ,      48.1000 ,      48.1000 ,             
Planck_Plik_lite   ,          ,     554.0 ,           ,    2564.1001 ,      47.4000 ,      47.4000 ,             
Planck_Plik_lite   ,          ,     563.0 ,           ,    2545.2000 ,      46.2000 ,      46.2000 ,             
Planck_Plik_lite   ,          ,     572.0 ,           ,    2413.7000 ,      44.9000 ,      44.9000 ,             
Planck_Plik_lite   ,          ,     581.0 ,           ,    2409.5000 ,      43.4000 ,      43.4000 ,             
Planck_Plik_lite   ,          ,     590.0 ,           ,    2373.2000 ,      41.8000 ,      41.8000 ,             
Planck_Plik_lite   ,          ,     599.0 ,           ,    2206.1001 ,      40.2000 ,      40.2000 ,             
Planck_Plik_lite   ,          ,     608.0 ,           ,    2118.8000 ,      38.5000 ,      38.5000 ,             
Planck_Plik_lite   ,          ,     617.0 ,           ,    2136.2000 ,      36.9000 ,      36.9000 ,             
Planck_Plik_lite   ,          ,     626.0 ,           ,    1953.4000 ,      35.4000 ,      35.4000 ,             
Planck_Plik_lite   ,          ,     635.0 ,           ,    1937.7000 ,      34.1000 ,      34.1000 ,             
Planck_Plik_lite   ,          ,     644.0 ,           ,    1857.6000 ,      32.9000 ,      32.9000 ,             
Planck_Plik_lite   ,          ,     653.0 ,           ,    1848.9000 ,      32.1000 ,      32.1000 ,             
Planck_Plik_lite   ,          ,     662.0 ,           ,    1849.7000 ,      31.4000 ,      31.4000 ,             
Planck_Plik_lite   ,          ,     671.0 ,           ,    1814.8000 ,      31.0000 ,      31.0000 ,             
Planck_Plik_lite   ,          ,     680.0 ,           ,    1761.0000 ,      30.8000 ,      30.8000 ,             
Planck_Plik_lite   ,          ,     689.0 ,           ,    1822.5000 ,      30.9000 ,      30.9000 ,             
Planck_Plik_lite   ,          ,     698.0 ,           ,    1887.0000 ,      31.3000 ,      31.3000 ,             
Planck_Plik_lite   ,          ,     707.0 ,           ,    1891.3000 ,      31.8000 ,      31.8000 ,             
Planck_Plik_lite   ,          ,     716.0 ,           ,    1909.2000 ,      32.4000 ,      32.4000 ,             
Planck_Plik_lite   ,          ,     725.0 ,           ,    1996.2000 ,      33.3000 ,      33.3000 ,             
Planck_Plik_lite   ,          ,     734.0 ,           ,    2051.3000 ,      34.2000 ,      34.2000 ,             
Planck_Plik_lite   ,          ,     743.0 ,           ,    2181.3999 ,      35.1000 ,      35.1000 ,             
Planck_Plik_lite   ,          ,     752.0 ,           ,    2258.6001 ,      36.1000 ,      36.1000 ,             
Planck_Plik_lite   ,          ,     761.0 ,           ,    2344.8000 ,      37.0000 ,      37.0000 ,             
Planck_Plik_lite   ,          ,     770.0 ,           ,    2348.2000 ,      37.7000 ,      37.7000 ,             
Planck_Plik_lite   ,          ,     779.0 ,           ,    2351.7000 ,      38.4000 ,      38.4000 ,             
Planck_Plik_lite   ,          ,     788.0 ,           ,    2483.3000 ,      38.8000 ,      38.8000 ,             
Planck_Plik_lite   ,          ,     797.0 ,           ,    2469.0000 ,      39.1000 ,      39.1000 ,             
Planck_Plik_lite   ,          ,     806.0 ,           ,    2495.1001 ,      39.3000 ,      39.3000 ,             
Planck_Plik_lite   ,          ,     815.0 ,           ,    2552.3999 ,      39.1000 ,      39.1000 ,             
Planck_Plik_lite   ,          ,     824.0 ,           ,    2520.8000 ,      38.8000 ,      38.8000 ,             
Planck_Plik_lite   ,          ,     833.0 ,           ,    2494.2000 ,      38.3000 ,      38.3000 ,             
Planck_Plik_lite   ,          ,     842.0 ,           ,    2504.6001 ,      37.4000 ,      37.4000 ,             
Planck_Plik_lite   ,          ,     851.0 ,           ,    2385.8000 ,      36.4000 ,      36.4000 ,             
Planck_Plik_lite   ,          ,     860.0 ,           ,    2353.3000 ,      35.3000 ,      35.3000 ,             
Planck_Plik_lite   ,          ,     869.0 ,           ,    2234.2000 ,      33.9000 ,      33.9000 ,             
Planck_Plik_lite   ,          ,     878.0 ,           ,    2167.8999 ,      32.5000 ,      32.5000 ,             
Planck_Plik_lite   ,          ,     887.0 ,           ,    2075.7000 ,      30.9000 ,      30.9000 ,             
Planck_Plik_lite   ,          ,     896.0 ,           ,    1951.0000 ,      29.3000 ,      29.3000 ,             
Planck_Plik_lite   ,          ,     905.0 ,           ,    1842.7000 ,      27.7000 ,      27.7000 ,             
Planck_Plik_lite   ,          ,     914.0 ,           ,    1747.8000 ,      26.1000 ,      26.1000 ,             
Planck_Plik_lite   ,          ,     923.0 ,           ,    1619.5000 ,      24.6000 ,      24.6000 ,             
Planck_Plik_lite   ,          ,     932.0 ,           ,    1560.7000 ,      23.1000 ,      23.1000 ,             
Planck_Plik_lite   ,          ,     941.0 ,           ,    1437.1000 ,      21.7000 ,      21.7000 ,             
Planck_Plik_lite   ,          ,     950.0 ,           ,    1341.0000 ,      20.4000 ,      20.4000 ,             
Planck_Plik_lite   ,          ,     959.0 ,           ,    1285.2000 ,      19.3000 ,      19.3000 ,             
Planck_Plik_lite   ,          ,     968.0 ,           ,    1233.2000 ,      18.3000 ,      18.3000 ,             
Planck_Plik_lite   ,          ,     977.0 ,           ,    1128.8000 ,      17.6000 ,      17.6000 ,             
Planck_Plik_lite   ,          ,     986.0 ,           ,    1105.1000 ,      16.9000 ,      16.9000 ,             
Planck_Plik_lite   ,          ,     995.0 ,           ,    1087.3000 ,      16.4000 ,      16.4000 ,             
Planck_Plik_lite   ,          ,    1004.0 ,           ,    1025.1000 ,      16.1000 ,      16.1000 ,             
Planck_Plik_lite   ,          ,    1013.0 ,           ,    1078.9000 ,      16.0000 ,      16.0000 ,             
Planck_Plik_lite   ,          ,    1022.0 ,           ,    1031.7000 ,      15.9000 ,      15.9000 ,             
Planck_Plik_lite   ,          ,    1031.0 ,           ,    1043.5000 ,      15.9000 ,      15.9000 ,             
Planck_Plik_lite   ,          ,    1040.0 ,           ,    1056.3000 ,      16.1000 ,      16.1000 ,             
Planck_Plik_lite   ,          ,    1049.0 ,           ,    1080.3000 ,      16.3000 ,      16.3000 ,             
Planck_Plik_lite   ,          ,    1058.0 ,           ,    1129.6000 ,      16.5000 ,      16.5000 ,             
Planck_Plik_lite   ,          ,    1067.0 ,           ,    1122.2000 ,      16.8000 ,      16.8000 ,             
Planck_Plik_lite   ,          ,    1076.0 ,           ,    1153.7000 ,      17.1000 ,      17.1000 ,             
Planck_Plik_lite   ,          ,    1085.0 ,           ,    1217.2000 ,      17.4000 ,      17.4000 ,             
Planck_Plik_lite   ,          ,    1094.0 ,           ,    1216.8000 ,      17.6000 ,      17.6000 ,             
Planck_Plik_lite   ,          ,    1103.0 ,           ,    1210.0000 ,      17.7000 ,      17.7000 ,             
Planck_Plik_lite   ,          ,    1112.0 ,           ,    1214.1000 ,      17.9000 ,      17.9000 ,             
Planck_Plik_lite   ,          ,    1121.0 ,           ,    1247.1000 ,      17.9000 ,      17.9000 ,             
Planck_Plik_lite   ,          ,    1130.0 ,           ,    1235.5000 ,      17.9000 ,      17.9000 ,             
Planck_Plik_lite   ,          ,    1139.0 ,           ,    1214.7000 ,      17.8000 ,      17.8000 ,             
Planck_Plik_lite   ,          ,    1148.0 ,           ,    1213.1000 ,      17.6000 ,      17.6000 ,             
Planck_Plik_lite   ,          ,    1157.0 ,           ,    1220.4000 ,      17.3000 ,      17.3000 ,             
Planck_Plik_lite   ,          ,    1166.0 ,           ,    1160.3000 ,      17.0000 ,      17.0000 ,             
Planck_Plik_lite   ,          ,    1175.0 ,           ,    1142.0000 ,      16.7000 ,      16.7000 ,             
Planck_Plik_lite   ,          ,    1184.0 ,           ,    1134.0000 ,      16.2000 ,      16.2000 ,             
Planck_Plik_lite   ,          ,    1193.0 ,           ,    1085.3000 ,      15.7000 ,      15.7000 ,             
Planck_Plik_lite   ,          ,    1202.0 ,           ,    1005.6000 ,      15.5000 ,      15.5000 ,             
Planck_Plik_lite   ,          ,    1211.0 ,           ,     974.9000 ,      15.0000 ,      15.0000 ,             
Planck_Plik_lite   ,          ,    1220.0 ,           ,     969.8000 ,      14.5000 ,      14.5000 ,             
Planck_Plik_lite   ,          ,    1229.0 ,           ,     906.5000 ,      13.9000 ,      13.9000 ,             
Planck_Plik_lite   ,          ,    1238.0 ,           ,     895.9000 ,      13.5000 ,      13.5000 ,             
Planck_Plik_lite   ,          ,    1247.0 ,           ,     859.9000 ,      13.1000 ,      13.1000 ,             
Planck_Plik_lite   ,          ,    1256.0 ,           ,     807.3000 ,      12.7000 ,      12.7000 ,             
Planck_Plik_lite   ,          ,    1265.0 ,           ,     777.6000 ,      12.3000 ,      12.3000 ,             
Planck_Plik_lite   ,          ,    1274.0 ,           ,     771.2000 ,      12.1000 ,      12.1000 ,             
Planck_Plik_lite   ,          ,    1283.0 ,           ,     737.7000 ,      11.8000 ,      11.8000 ,             
Planck_Plik_lite   ,          ,    1292.0 ,           ,     757.6000 ,      11.7000 ,      11.7000 ,             
Planck_Plik_lite   ,          ,    1301.0 ,           ,     732.9000 ,      11.6000 ,      11.6000 ,             
Planck_Plik_lite   ,          ,    1310.0 ,           ,     711.9000 ,      11.6000 ,      11.6000 ,             
Planck_Plik_lite   ,          ,    1319.0 ,           ,     720.5000 ,      11.6000 ,      11.6000 ,             
Planck_Plik_lite   ,          ,    1328.0 ,           ,     724.1000 ,      11.6000 ,      11.6000 ,             
Planck_Plik_lite   ,          ,    1337.0 ,           ,     757.6000 ,      11.7000 ,      11.7000 ,             
Planck_Plik_lite   ,          ,    1346.0 ,           ,     737.3000 ,      11.9000 ,      11.9000 ,             
Planck_Plik_lite   ,          ,    1355.0 ,           ,     765.1000 ,      12.0000 ,      12.0000 ,             
Planck_Plik_lite   ,          ,    1364.0 ,           ,     777.6000 ,      12.1000 ,      12.1000 ,             
Planck_Plik_lite   ,          ,    1373.0 ,           ,     775.5000 ,      12.3000 ,      12.3000 ,             
Planck_Plik_lite   ,          ,    1382.0 ,           ,     774.2000 ,      12.5000 ,      12.5000 ,             
Planck_Plik_lite   ,          ,    1391.0 ,           ,     805.3000 ,      12.6000 ,      12.6000 ,             
Planck_Plik_lite   ,          ,    1400.0 ,           ,     830.6000 ,      12.7000 ,      12.7000 ,             
Planck_Plik_lite   ,          ,    1409.0 ,           ,     821.2000 ,      12.8000 ,      12.8000 ,             
Planck_Plik_lite   ,          ,    1418.0 ,           ,     818.9000 ,      12.8000 ,      12.8000 ,             
Planck_Plik_lite   ,          ,    1427.0 ,           ,     795.3000 ,      12.8000 ,      12.8000 ,             
Planck_Plik_lite   ,          ,    1436.0 ,           ,     801.6000 ,      12.8000 ,      12.8000 ,             
Planck_Plik_lite   ,          ,    1445.0 ,           ,     798.6000 ,      12.8000 ,      12.8000 ,             
Planck_Plik_lite   ,          ,    1454.0 ,           ,     771.8000 ,      12.7000 ,      12.7000 ,             
Planck_Plik_lite   ,          ,    1463.0 ,           ,     762.4000 ,      12.6000 ,      12.6000 ,             
Planck_Plik_lite   ,          ,    1472.0 ,           ,     751.4000 ,      12.4000 ,      12.4000 ,             
Planck_Plik_lite   ,          ,    1481.0 ,           ,     737.8000 ,      12.2000 ,      12.2000 ,             
Planck_Plik_lite   ,          ,    1490.0 ,           ,     726.4000 ,      12.0000 ,      12.0000 ,             
Planck_Plik_lite   ,          ,    1499.0 ,           ,     703.9000 ,      11.8000 ,      11.8000 ,             
Planck_Plik_lite   ,          ,    1512.0 ,           ,     655.2000 ,       9.2000 ,       9.2000 ,             
Planck_Plik_lite   ,          ,    1529.0 ,           ,     587.7000 ,       9.0000 ,       9.0000 ,             
Planck_Plik_lite   ,          ,    1546.0 ,           ,     548.2000 ,       8.8000 ,       8.8000 ,             
Planck_Plik_lite   ,          ,    1563.0 ,           ,     503.7000 ,       8.7000 ,       8.7000 ,             
Planck_Plik_lite   ,          ,    1580.0 ,           ,     468.2000 ,       8.6000 ,       8.6000 ,             
Planck_Plik_lite   ,          ,    1597.0 ,           ,     428.9000 ,       8.5000 ,       8.5000 ,             
Planck_Plik_lite   ,          ,    1614.0 ,           ,     407.5000 ,       8.6000 ,       8.6000 ,             
Planck_Plik_lite   ,          ,    1631.0 ,           ,     398.5000 ,       8.7000 ,       8.7000 ,             
Planck_Plik_lite   ,          ,    1648.0 ,           ,     389.9000 ,       8.8000 ,       8.8000 ,             
Planck_Plik_lite   ,          ,    1665.0 ,           ,     391.5000 ,       8.9000 ,       8.9000 ,             
Planck_Plik_lite   ,          ,    1682.0 ,           ,     383.8000 ,       9.1000 ,       9.1000 ,             
Planck_Plik_lite   ,          ,    1699.0 ,           ,     398.8000 ,       9.3000 ,       9.3000 ,             
Planck_Plik_lite   ,          ,    1716.0 ,           ,     395.2000 ,       9.4000 ,       9.4000 ,             
Planck_Plik_lite   ,          ,    1733.0 ,           ,     408.2000 ,       9.6000 ,       9.6000 ,             
Planck_Plik_lite   ,          ,    1750.0 ,           ,     377.2000 ,       9.8000 ,       9.8000 ,             
Planck_Plik_lite   ,          ,    1767.0 ,           ,     379.9000 ,       9.9000 ,       9.9000 ,             
Planck_Plik_lite   ,          ,    1784.0 ,           ,     374.3000 ,      10.0000 ,      10.0000 ,             
Planck_Plik_lite   ,          ,    1801.0 ,           ,     361.3000 ,      10.1000 ,      10.1000 ,             
Planck_Plik_lite   ,          ,    1818.0 ,           ,     341.6000 ,      10.2000 ,      10.2000 ,             
Planck_Plik_lite   ,          ,    1835.0 ,           ,     314.1000 ,      10.4000 ,      10.4000 ,             
Planck_Plik_lite   ,          ,    1852.0 ,           ,     305.8000 ,      10.5000 ,      10.5000 ,             
Planck_Plik_lite   ,          ,    1869.0 ,           ,     275.4000 ,      10.6000 ,      10.6000 ,             
Planck_Plik_lite   ,          ,    1886.0 ,           ,     267.6000 ,      10.8000 ,      10.8000 ,             
